CustomerKey,FirstName,LastName,BirthDate,EmailAddress,Occupation
11056,MICHELE,NATH,4/3/1953,michele19@learnsector.com,Skilled Manual
11057,CARL,ANDERSEN,10/12/1953,carl12@learnsector.com,Management
11058,MARC,DIAZ,27/04/1954,marc6@learnsector.com,Skilled Manual
11059,ASHLEE,ANDERSEN,4/1/1954,ashlee19@learnsector.com,Skilled Manual
11060,JON,ZHOU,17/03/1954,jon28@learnsector.com,Skilled Manual
11061,TODD,GAO,27/02/1954,todd14@learnsector.com,Skilled Manual
11062,NOAH,POWELL,9/2/1975,noah5@learnsector.com,Skilled Manual
11063,ANGELA,MURPHY,4/7/1975,angela41@learnsector.com,Skilled Manual
11064,CHASE,REED,12/7/1975,chase21@learnsector.com,Skilled Manual
11065,JESSICA,HENDERSON,10/9/1973,jessica29@learnsector.com,Skilled Manual
11066,GRACE,BUTLER,27/11/1973,grace62@learnsector.com,Professional
11067,CALEB,CARTER,25/09/1976,caleb40@learnsector.com,Professional
11068,TIFFANY,LIANG,23/09/1955,tiffany17@learnsector.com,Skilled Manual
11069,CAROLYN,NAVARRO,21/09/1955,carolyn30@learnsector.com,Skilled Manual
11070,WILLIE,RAJI,4/5/1955,willie40@learnsector.com,Skilled Manual
11071,LINDA,SERRANO,26/06/1955,linda31@learnsector.com,Skilled Manual
11072,CASEY,LUO,2/6/1955,casey6@learnsector.com,Skilled Manual
11073,AMY,YE,14/08/1956,amy16@learnsector.com,Skilled Manual
11074,LEVI,ARUN,28/08/1956,levi6@learnsector.com,Skilled Manual
11075,FELICIA,JIMENEZ,16/11/1957,felicia4@learnsector.com,Professional
11076,BLAKE,ANDERSON,13/07/1957,blake9@learnsector.com,Professional
11077,LEAH,YE,19/09/1957,leah7@learnsector.com,Professional
11078,GINA,MARTIN,1/10/1974,gina1@learnsector.com,Professional
11079,DONALD,GONZALEZ,3/11/1959,donald20@learnsector.com,Management
11080,DAMIEN,CHANDER,17/07/1959,damien32@learnsector.com,Management
11081,SAVANNAH,BAKER,24/07/1966,savannah39@learnsector.com,Management
11082,ANGELA,BUTLER,8/4/1966,angela17@learnsector.com,Management
11083,ALYSSA,COX,15/03/1966,alyssa37@learnsector.com,Management
11084,LUCAS,PHILLIPS,9/12/1957,lucas7@learnsector.com,Skilled Manual
11085,EMILY,JOHNSON,19/07/1957,emily1@learnsector.com,Professional
11086,RYAN,BROWN,23/12/1957,ryan43@learnsector.com,Professional
11087,TAMARA,LIANG,10/3/1957,tamara6@learnsector.com,Professional
11089,ABIGAIL,PRICE,2/5/1957,abigail25@learnsector.com,Management
11090,TREVOR,BRYANT,17/12/1957,trevor18@learnsector.com,Professional
11091,DALTON,PEREZ,4/4/1957,dalton37@learnsector.com,Professional
11092,CHERYL,DIAZ,5/6/1967,cheryl4@learnsector.com,Professional
11093,AIMEE,HE,9/10/1967,aimee13@learnsector.com,Management
11094,CEDRIC,MA,4/1/1962,cedric15@learnsector.com,Skilled Manual
11095,CHAD,KUMAR,9/1/1962,chad9@learnsector.com,Skilled Manual
11096,ANDRÉS,ANAND,8/10/1962,andrés18@learnsector.com,Professional
11097,EDWIN,NARA,27/10/1961,edwin39@learnsector.com,Skilled Manual
11098,MALLORY,RUBIO,5/1/1961,mallory7@learnsector.com,Skilled Manual
11099,ADAM,ROSS,3/8/1961,adam2@learnsector.com,Professional
11100,LATASHA,NAVARRO,15/09/1960,latasha10@learnsector.com,Skilled Manual
11101,ABBY,SAI,5/8/1965,abby4@learnsector.com,Professional
11102,JULIA,NELSON,21/04/1965,julia7@learnsector.com,Professional
11103,CASSIE,CHANDE,17/10/1964,cassie13@learnsector.com,Professional
11104,EDGAR,SARA,3/11/1964,edgar11@learnsector.com,Professional
11105,CANDACE,FERNANDEZ,28/12/1964,candace15@learnsector.com,Professional
11106,JESSIE,LIU,9/11/1964,jessie9@learnsector.com,Professional
11107,BIANCA,LIN,9/9/1959,bianca7@learnsector.com,Professional
11108,KARI,ALVAREZ,14/07/1963,kari25@learnsector.com,Professional
11109,RUBEN,KAPOOR,11/5/1963,ruben1@learnsector.com,Professional
11110,CURTIS,YANG,6/6/1962,curtis5@learnsector.com,Skilled Manual
11111,MEREDITH,GUTIERREZ,23/02/1962,meredith34@learnsector.com,Skilled Manual
11112,CRYSTAL,WANG,9/9/1962,crystal3@learnsector.com,Skilled Manual
11113,MICHEAL,BLANCO,21/02/1962,micheal11@learnsector.com,Professional
11114,LESLIE,MORENO,28/05/1962,leslie7@learnsector.com,Skilled Manual
11115,ALVIN,CAI,2/12/1962,alvin20@learnsector.com,Skilled Manual
11116,CLINTON,CARLSON,10/7/1962,clinton14@learnsector.com,Skilled Manual
11117,APRIL,DENG,21/02/1961,april1@learnsector.com,Skilled Manual
11118,ALVIN,ZENG,7/3/1957,alvin21@learnsector.com,Skilled Manual
11119,EVAN,JAMES,4/10/1935,evan8@learnsector.com,Clerical
11121,ORLANDO,SUAREZ,18/11/1960,orlando19@learnsector.com,Skilled Manual
11122,BYRON,VAZQUEZ,4/2/1960,byron9@learnsector.com,Skilled Manual
11123,PHILIP,ALVAREZ,20/06/1960,philip4@learnsector.com,Skilled Manual
11124,ROSS,JORDAN,27/07/1957,ross1@learnsector.com,Skilled Manual
11125,DANA,NAVARRO,4/8/1956,dana2@learnsector.com,Skilled Manual
11126,SHAUN,CARSON,4/7/1949,shaun16@learnsector.com,Skilled Manual
11127,JAN,EDWARDS,21/10/1975,jan11@learnsector.com,Skilled Manual
11128,SAMANTHA,LONG,12/5/1975,samantha35@learnsector.com,Skilled Manual
11129,JULIA,WRIGHT,8/5/1975,julia17@learnsector.com,Skilled Manual
11130,CAROLINE,RUSSELL,1/6/1980,caroline21@learnsector.com,Skilled Manual
11131,AMANDA,RIVERA,3/12/1980,amanda7@learnsector.com,Skilled Manual
11132,MELISSA,RICHARDSON,26/10/1980,melissa31@learnsector.com,Skilled Manual
11133,ANGELA,GRIFFIN,9/8/1980,angela23@learnsector.com,Clerical
11134,LARRY,TOWNSEND,26/02/1946,larry14@learnsector.com,Skilled Manual
11135,MARCUS,HARRIS,11/3/1979,marcus14@learnsector.com,Clerical
11136,BRIANNA,MORGAN,26/10/1978,brianna30@learnsector.com,Skilled Manual
11137,JASMINE,TAYLOR,20/07/1978,jasmine7@learnsector.com,Skilled Manual
11138,LAUREN,DAVIS,15/09/1978,lauren23@learnsector.com,Skilled Manual
11139,TANYA,MORENO,11/9/1938,tanya2@learnsector.com,Clerical
11140,JAVIER,ALVAREZ,2/11/1977,javier1@learnsector.com,Clerical
11141,NICOLE,RAMIREZ,21/06/1977,nicole42@learnsector.com,Skilled Manual
11142,EDUARDO,PATTERSON,14/08/1977,eduardo55@learnsector.com,Skilled Manual
11143,JONATHAN,HENDERSON,2/4/1977,jonathan4@learnsector.com,Skilled Manual
11144,EDWARD,HERNANDEZ,9/9/1979,edward48@learnsector.com,Skilled Manual
11145,JASMINE,COLEMAN,12/8/1979,jasmine46@learnsector.com,Skilled Manual
11146,KARLA,GOEL,26/08/1939,karla20@learnsector.com,Management
11147,ERNEST,WU,2/5/1939,ernest6@learnsector.com,Management
11148,ROSS,VAZQUEZ,16/08/1941,ross32@learnsector.com,Management
11149,THEODORE,GILL,20/04/1941,theodore14@learnsector.com,Management
11150,RUSSELL,SHEN,15/03/1941,russell6@learnsector.com,Management
11151,MELINDA,GILL,25/02/1942,melinda9@learnsector.com,Management
11152,JAMES,WILLIAMS,1/10/1976,james77@learnsector.com,Skilled Manual
11153,ANGELA,JAMES,23/06/1976,angela34@learnsector.com,Skilled Manual
11154,MEGAN,WALKER,21/08/1976,megan25@learnsector.com,Skilled Manual
11155,HUNTER,ROBINSON,26/01/1976,hunter50@learnsector.com,Skilled Manual
11156,MARIA,ROBERTS,2/7/1976,maria47@learnsector.com,Skilled Manual
11157,HANNAH,LONG,6/11/1975,hannah32@learnsector.com,Skilled Manual
11158,JASON,WRIGHT,10/8/1975,jason46@learnsector.com,Skilled Manual
11159,BRIANNA,HUGHES,17/09/1975,brianna57@learnsector.com,Skilled Manual
11160,MAURICE,TANG,1/8/1974,maurice4@learnsector.com,Skilled Manual
11161,EMILY,WOOD,22/04/1974,emily27@learnsector.com,Skilled Manual
11162,CHASE,COX,3/5/1974,chase10@learnsector.com,Skilled Manual
11163,GABRIEL,WANG,20/12/1974,gabriel21@learnsector.com,Skilled Manual
11164,DEVIN,BROOKS,5/5/1974,devin63@learnsector.com,Skilled Manual
11165,JOCELYN,ALEXANDER,18/07/1973,jocelyn18@learnsector.com,Skilled Manual
11166,ASHLEY,MARTINEZ,24/04/1972,ashley18@learnsector.com,Skilled Manual
11167,JASMINE,BARNES,8/1/1972,jasmine43@learnsector.com,Management
11168,DAVID,RODRIGUEZ,15/05/1968,david83@learnsector.com,Management
11169,BRYCE,RICHARDSON,22/06/1968,bryce8@learnsector.com,Management
11170,CAROL,HOWARD,2/5/1968,carol5@learnsector.com,Management
11171,JONATHAN,HILL,10/9/1967,jonathan43@learnsector.com,Management
11172,GABRIELLE,ADAMS,21/11/1967,gabrielle58@learnsector.com,Management
11173,SARAH,THOMAS,9/1/1967,sarah13@learnsector.com,Management
11174,NICHOLAS,ROBINSON,13/07/1967,nicholas19@learnsector.com,Management
11175,LUIS,WANG,3/5/1963,luis24@learnsector.com,Skilled Manual
11176,MASON,ROBERTS,25/01/1968,mason25@learnsector.com,Management
11177,JOSE,FLORES,7/4/1942,jose6@learnsector.com,Management
11178,NATHAN,JOHNSON,24/08/1943,nathan55@learnsector.com,Management
11179,MOLLY,RODRIGUEZ,14/06/1943,molly18@learnsector.com,Management
11180,APRIL,ANAND,1/2/1943,april18@learnsector.com,Management
11181,DEVIN,MARTIN,8/8/1943,devin13@learnsector.com,Management
11182,STEPHANIE,TORRES,25/08/1944,stephanie19@learnsector.com,Management
11183,JASMINE,LEE,15/07/1944,jasmine19@learnsector.com,Management
11184,MEGHAN,HERNANDEZ,16/11/1944,meghan3@learnsector.com,Management
11185,ASHLEY,HENDERSON,10/8/1944,ashley31@learnsector.com,Management
11186,SARAH,PRICE,21/05/1944,sarah25@learnsector.com,Management
11187,JENNIFER,COOPER,22/02/1944,jennifer63@learnsector.com,Management
11188,CATHERINE,MORRIS,9/6/1944,catherine16@learnsector.com,Management
11190,CARSON,BRYANT,22/06/1944,carson17@learnsector.com,Management
11191,KRISTI,PEREZ,18/12/1945,kristi39@learnsector.com,Management
11192,JAMES,BROWN,13/09/1945,james79@learnsector.com,Management
11193,IAN,GRAY,13/02/1945,ian72@learnsector.com,Management
11194,JACQUELINE,PRICE,6/10/1945,jacqueline0@learnsector.com,Management
11195,MEGAN,HENDERSON,2/10/1946,megan55@learnsector.com,Management
11196,ALFREDO,ROMERO,6/7/1946,alfredo10@learnsector.com,Management
11197,ANDREA,MORRIS,18/06/1946,andrea18@learnsector.com,Management
11198,BROOKE,SANDERS,26/11/1946,brooke3@learnsector.com,Management
11199,JACQUELINE,BENNETT,11/6/1946,jacqueline1@learnsector.com,Management
11200,JASON,GRIFFIN,22/11/1947,jason18@learnsector.com,Management
11201,AMANDA,FOSTER,18/08/1947,amanda37@learnsector.com,Management
11202,ALEXIA,PRICE,26/08/1947,alexia0@learnsector.com,Management
11203,LUIS,DIAZ,21/08/1948,luis21@learnsector.com,Professional
11205,ABBY,FERNANDEZ,24/07/1948,abby13@learnsector.com,Professional
11206,BLAKE,FLORES,24/09/1948,blake60@learnsector.com,Professional
11207,DANIELLE,COX,19/07/1948,danielle12@learnsector.com,Professional
11208,MARIA,REED,2/4/1948,maria4@learnsector.com,Management
11209,ALLISON,EVANS,13/01/1948,allison21@learnsector.com,Management
11210,EDWARD,WOOD,6/8/1948,edward50@learnsector.com,Professional
11211,SAMANTHA,RUSSELL,10/12/1949,samantha42@learnsector.com,Professional
11212,CHLOE,CAMPBELL,11/5/1949,chloe4@learnsector.com,Professional
11213,STEPHANIE,MURPHY,14/05/1949,stephanie11@learnsector.com,Professional
11214,CHARLES,MILLER,11/7/1949,charles9@learnsector.com,Professional
11215,ANA,PERRY,21/06/1950,ana7@learnsector.com,Skilled Manual
11216,JASMINE,TORRES,20/05/1950,jasmine32@learnsector.com,Professional
11217,NATALIE,ADAMS,2/11/1950,natalie58@learnsector.com,Professional
11218,OLIVIA,BROWN,9/11/1950,olivia4@learnsector.com,Professional
11219,CHARLES,COOK,12/2/1950,charles69@learnsector.com,Professional
11220,ERICA,HUANG,23/02/1950,erica5@learnsector.com,Professional
11221,NATHAN,PERRY,6/10/1950,nathan3@learnsector.com,Professional
11222,ALEXANDRA,RIVERA,17/08/1950,alexandra11@learnsector.com,Management
11223,HAILEY,PATTERSON,16/09/1951,hailey30@learnsector.com,Professional
11224,TIFFANY,LI,9/6/1951,tiffany3@learnsector.com,Professional
11226,SYDNEY,ROSS,27/09/1951,sydney26@learnsector.com,Professional
11227,MARSHALL,CHAVEZ,8/12/1951,marshall35@learnsector.com,Professional
11228,ASHLEY,JONES,19/04/1951,ashley3@learnsector.com,Professional
11229,ADRIAN,STEWART,12/3/1951,adrian21@learnsector.com,Professional
11230,AMBER,TURNER,4/3/1951,amber4@learnsector.com,Professional
11231,DENNIS,ZHANG,14/11/1952,dennis1@learnsector.com,Professional
11232,HAILEY,BRYANT,27/09/1952,hailey38@learnsector.com,Professional
11233,TODD,LI,9/9/1952,todd5@learnsector.com,Professional
11234,ANNA,GRIFFIN,19/11/1952,anna46@learnsector.com,Professional
11235,ANGEL,STEWART,2/8/1952,angel24@learnsector.com,Professional
11236,JEREMY,BUTLER,3/5/1952,jeremy29@learnsector.com,Professional
11237,CLARENCE,ANAND,23/09/1958,clarence36@learnsector.com,Management
11238,MAYRA,PRASAD,8/10/1958,mayra9@learnsector.com,Management
11239,LATOYA,GOEL,10/6/1958,latoya18@learnsector.com,Professional
11240,ANNE,HERNANDEZ,12/11/1958,anne4@learnsector.com,Professional
11241,LISA,CAI,10/11/1957,lisa24@learnsector.com,Professional
11242,LARRY,MUNOZ,11/11/1957,larry9@learnsector.com,Professional
11243,ROBIN,ALVAREZ,10/9/1957,robin2@learnsector.com,Professional
11244,ALEXIS,COLEMAN,26/11/1957,alexis28@learnsector.com,Management
11245,RICKY,VAZQUEZ,27/10/1956,ricky15@learnsector.com,Professional
11247,CLAUDIA,ZHOU,6/6/1956,claudia7@learnsector.com,Professional
11248,TRISTAN,ALEXANDER,26/03/1955,tristan19@learnsector.com,Professional
11249,CINDY,PATEL,13/07/1955,cindy3@learnsector.com,Professional
11250,SHANNON,LIU,3/12/1955,shannon4@learnsector.com,Professional
11251,XAVIER,LONG,7/4/1932,xavier51@learnsector.com,Professional
11252,NICHOLAS,THOMPSON,6/7/1932,nicholas16@learnsector.com,Management
11253,JOSÉ,HERNANDEZ,28/02/1933,josé54@learnsector.com,Management
11254,JOHNATHAN,VANCE,3/3/1933,johnathan5@learnsector.com,Management
11255,COLIN,LIN,4/4/1933,colin8@learnsector.com,Management
11256,KATELYN,HERNANDEZ,20/09/1933,katelyn42@learnsector.com,Management
11257,JACQUELINE,POWELL,1/6/1933,jacqueline9@learnsector.com,Management
11258,XAVIER,HILL,28/06/1933,xavier26@learnsector.com,Management
11259,VICTORIA,STEWART,27/03/1965,victoria24@learnsector.com,Professional
11260,KATELYN,KELLY,4/12/1965,katelyn1@learnsector.com,Management
11261,STEPHANIE,COLLINS,24/04/1965,stephanie52@learnsector.com,Management
11262,JENNIFER,SIMMONS,5/4/1964,jennifer88@learnsector.com,Management
11263,TRINITY,RICHARDSON,9/11/1964,trinity9@learnsector.com,Professional
11264,EDUARDO,MARTIN,17/06/1964,eduardo13@learnsector.com,Professional
11265,ELIZABETH,JONES,13/07/1964,elizabeth7@learnsector.com,Professional
11266,TAYLOR,HOWARD,5/5/1964,taylor14@learnsector.com,Professional
11267,DAVID,DIAZ,10/2/1964,david55@learnsector.com,Professional
11268,KATELYN,CARTER,5/3/1964,katelyn33@learnsector.com,Management
11269,RYAN,FOSTER,13/10/1964,ryan19@learnsector.com,Management
11270,ROBERT,LEE,5/4/1964,robert82@learnsector.com,Management
11271,DANIELLE,REED,6/5/1964,danielle23@learnsector.com,Management
11272,LAUREN,MARTINEZ,11/10/1956,lauren35@learnsector.com,Professional
11273,NATHAN,LAL,10/1/1956,nathan26@learnsector.com,Professional
11274,KYLE,FOSTER,4/12/1934,kyle11@learnsector.com,Management
11275,JENNY,RAI,18/01/1934,jenny40@learnsector.com,Management
11276,NANCY,CHAPMAN,19/09/1963,nancy7@learnsector.com,Professional
11277,CHARLES,JACKSON,6/10/1963,charles15@learnsector.com,Professional
11278,JONATHAN,PHILLIPS,20/08/1963,jonathan35@learnsector.com,Professional
11279,AMANDA,COOK,9/12/1963,amanda3@learnsector.com,Professional
11280,ROBERT,COLLINS,21/08/1963,robert45@learnsector.com,Professional
11281,MEGAN,BARNES,10/10/1963,megan53@learnsector.com,Management
11282,CHRISTIAN,THOMAS,16/01/1962,christian46@learnsector.com,Professional
11283,ARTURO,LAL,26/10/1962,arturo33@learnsector.com,Management
11284,THERESA,SERRANO,27/03/1962,theresa12@learnsector.com,Management
11285,JEREMY,ANDERSON,19/03/1962,jeremy2@learnsector.com,Professional
11286,HUNTER,GRIFFIN,3/3/1962,hunter16@learnsector.com,Management
11287,HENRY,GARCIA,16/01/1961,henry16@learnsector.com,Professional
11288,CINDY,SANCHEZ,16/09/1961,cindy19@learnsector.com,Management
11289,MARIA,CARTER,3/7/1961,maria53@learnsector.com,Management
11290,KATELYN,SANCHEZ,18/08/1961,katelyn26@learnsector.com,Management
11291,JENNA,WRIGHT,5/5/1961,jenna19@learnsector.com,Management
11292,SETH,PHILLIPS,11/5/1961,seth42@learnsector.com,Professional
11293,LUKE,LONG,27/05/1955,luke28@learnsector.com,Professional
11294,DALTON,CLARK,9/3/1955,dalton18@learnsector.com,Professional
11295,TAYLOR,LEWIS,16/05/1954,taylor67@learnsector.com,Skilled Manual
11296,HALEY,RICHARDSON,10/7/1935,haley10@learnsector.com,Management
11297,NOAH,COLEMAN,2/2/1935,noah2@learnsector.com,Management
11298,JON,LUO,3/3/1935,jon46@learnsector.com,Management
11299,ORLANDO,VAZQUEZ,4/1/1936,orlando14@learnsector.com,Management
11300,FERNANDO,BARNES,3/3/1960,fernando47@learnsector.com,Professional
11301,CAMERON,RODRIGUEZ,6/9/1960,cameron38@learnsector.com,Professional
11302,SPENCER,RUSSELL,12/12/1960,spencer22@learnsector.com,Professional
11303,JULIA,COLEMAN,10/11/1960,julia72@learnsector.com,Professional
11304,JULIA,GARCIA,17/03/1960,julia38@learnsector.com,Professional
11305,SEAN,EVANS,19/06/1960,sean31@learnsector.com,Professional
11306,MICAH,ZHOU,22/06/1960,micah19@learnsector.com,Professional
11307,HUNTER,RODRIGUEZ,11/4/1954,hunter53@learnsector.com,Skilled Manual
11308,IAN,GONZALES,3/5/1954,ian57@learnsector.com,Professional
11309,VICTORIA,LEWIS,6/12/1954,victoria20@learnsector.com,Professional
11310,ERIN,SANDERS,7/9/1953,erin7@learnsector.com,Management
11311,GABRIELLE,LOPEZ,24/08/1953,gabrielle63@learnsector.com,Management
11312,SARA,RICHARDSON,4/3/1953,sara10@learnsector.com,Management
11313,TREVOR,JENKINS,27/02/1953,trevor6@learnsector.com,Management
11315,HAILEY,WARD,10/1/1953,hailey12@learnsector.com,Management
11316,LUKE,ALLEN,17/11/1953,luke52@learnsector.com,Management
11317,VICTORIA,RUSSELL,17/09/1952,victoria66@learnsector.com,Professional
11318,JESSICA,WILSON,26/10/1952,jessica54@learnsector.com,Professional
11319,JADE,BAILEY,27/04/1937,jade13@learnsector.com,Management
11320,MORGAN,HILL,26/06/1937,morgan19@learnsector.com,Management
11321,TERRANCE,RAMAN,7/8/1938,terrance9@learnsector.com,Management
11322,SYDNEY,GARCIA,15/03/1938,sydney78@learnsector.com,Management
11323,JOSE,PATTERSON,20/06/1938,jose33@learnsector.com,Management
11324,ZACHARY,ANDERSON,14/05/1939,zachary39@learnsector.com,Management
11325,ELIJAH,ROSS,7/2/1939,elijah7@learnsector.com,Management
11326,RAFAEL,XIE,26/06/1939,rafael26@learnsector.com,Management
11327,JAIME,MORENO,3/4/1940,jaime48@learnsector.com,Management
11328,JULIAN,GRIFFIN,1/1/1940,julian20@learnsector.com,Management
11329,ANDY,ALVAREZ,25/07/1940,andy9@learnsector.com,Management
11330,RYAN,THOMPSON,13/05/1940,ryan38@learnsector.com,Management
11331,SAMANTHA,JENKINS,7/6/1968,samantha32@learnsector.com,Skilled Manual
11332,DEANNA,RAMOS,10/4/1962,deanna44@learnsector.com,Manual
11333,EMILY,MILLER,7/10/1962,emily6@learnsector.com,Clerical
11334,NICOLE,BROWN,22/03/1961,nicole4@learnsector.com,Manual
11335,CARLA,RAMAN,24/06/1961,carla14@learnsector.com,Manual
11336,SHAUN,RAJI,3/12/1962,shaun21@learnsector.com,Clerical
11337,JEROME,ROMERO,21/09/1961,jerome7@learnsector.com,Manual
11338,FRANK,NAVARRO,8/10/1961,frank17@learnsector.com,Clerical
11339,DENNIS,SHE,7/8/1961,dennis25@learnsector.com,Clerical
11340,MELODY,MUNOZ,4/6/1936,melody8@learnsector.com,Clerical
11341,RANDY,ZENG,21/08/1936,randy24@learnsector.com,Clerical
11342,MARSHALL,WANG,3/11/1962,marshall0@learnsector.com,Clerical
11343,ARTHUR,CARLSON,13/09/1958,arthur41@learnsector.com,Manual
11344,JESSIE,JIMENEZ,24/07/1957,jessie3@learnsector.com,Manual
11345,ROBIN,RAMOS,3/12/1957,robin13@learnsector.com,Manual
11346,DEANNA,GUTIERREZ,22/05/1955,deanna37@learnsector.com,Manual
11347,ROY,NAVARRO,23/12/1955,roy30@learnsector.com,Manual
11348,SHAWN,RAI,22/09/1955,shawn19@learnsector.com,Manual
11349,MINDY,LUO,9/3/1954,mindy10@learnsector.com,Manual
11350,CARA,ZHOU,14/01/1937,cara5@learnsector.com,Clerical
11351,ANNE,RAMOS,4/6/1939,anne19@learnsector.com,Clerical
11352,RAYMOND,RODRIGUEZ,3/7/1940,raymond20@learnsector.com,Manual
11353,CARRIE,ORTEGA,6/11/1941,carrie19@learnsector.com,Clerical
11354,DEANNA,SUAREZ,23/02/1942,deanna45@learnsector.com,Manual
11355,ROBERTO,GUTIERREZ,28/12/1942,roberto11@learnsector.com,Clerical
11356,TERRENCE,CARSON,27/05/1980,terrence15@learnsector.com,Manual
11357,RAMON,YE,23/03/1979,ramon9@learnsector.com,Manual
11358,CYNTHIA,MALHOTRA,11/11/1978,cynthia9@learnsector.com,Manual
11359,JARROD,PRASAD,9/4/1978,jarrod9@learnsector.com,Manual
11360,TYRONE,SERRANO,8/2/1978,tyrone15@learnsector.com,Manual
11361,CINDY,RAMOS,28/04/1977,cindy22@learnsector.com,Manual
11362,DAMIEN,SHAN,11/11/1977,damien26@learnsector.com,Manual
11363,JULIAN,ROSS,20/10/1977,julian5@learnsector.com,Manual
11365,BRITTNEY,SUN,6/9/1979,brittney12@learnsector.com,Manual
11366,VIRGINIA,PATEL,25/10/1979,virginia4@learnsector.com,Clerical
11367,CALVIN,NARA,22/02/1979,calvin15@learnsector.com,Clerical
11368,EDWARD,MILLER,25/11/1978,edward28@learnsector.com,Manual
11369,ASHLEE,TANG,8/4/1978,ashlee11@learnsector.com,Clerical
11370,ALICIA,XU,4/1/1978,alicia3@learnsector.com,Clerical
